DateStart,Error
2015-09-14 14:38:44.168000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 14:53:44.179000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 15:24:14.204000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 15:27:34.156000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 15:54:24.128000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:10:04.100000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-15 12:11:14.151000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-15 15:07:24.194000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:32:14.168000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:41:14.175000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:43:54.077000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:46:44.179000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:36:14.171000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 12:51:44.184000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 13:40:54.124000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-15 14:05:34.194000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 13:48:24.130000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 14:12:24.149000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:23:34.108000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:55:14.183000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 16:23:14.206000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 16:31:44.213000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:31:34.114000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:38:34.120000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:34:34.117000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:44:34.125000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 15:47:44.177000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 16:06:44.193000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 16:11:24.097000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 16:16:14.201000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-15 17:19:04.202000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-16 11:58:24.201000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-16 12:54:44.197000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-16 12:57:24.099000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-16 14:09:44.107000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-16 13:03:34.154000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-16 13:01:34.152000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-16 14:18:14.114000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-18 08:28:54.184000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-18 08:32:14.136000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-18 08:42:34.094000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 08:39:14.142000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 08:44:14.146000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 08:46:34.098000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 08:51:04.101000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 09:04:54.212000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 09:07:44.164000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 10:07:54.112000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 09:24:44.178000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 10:51:44.097000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 11:06:34.209000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 11:31:34.079000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 11:48:34.093000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-18 12:20:34.118000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-18 13:07:04.156000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-18 12:25:34.122000+00:00,index 0 is out of bounds for axis 0 with size 0
